NUTZUNG_CODE,NUTZUNG_LEVEL3,count
1,locker bebautes Wohn(misch)gebiet,3055
2,Wohn(misch)gebiet mittlerer Dichte,1868
3,dichtes Wohn(misch)gebiet,4024
4,"großvolumiger, solitärer Wohn(misch)bau",396
5,Büro- und Verwaltungsviertel,281
6,solitäre Handelsstrukturen,346
7,"Geschäfts-, Kern- u. Mischgebiete",122
8,Mischnutzung wenig dicht,306
9,"Industrie, prod. Gewerbe, Großhandel inkl. Lager",500
10,"Kultur, Freizeit, Messe",322
11,Gesundheit und Einsatzorg.,88
12,Bildung,494
13,Sport und Bad (Indoor),42
14,Militärische Anlagen,21
15,"Kläranlage, Deponie",16
16,Energieversorgung u. Rundfunkanlagen,59
17,Wasserversorgung,26
18,"Transformationsfläche, Baustelle, Materialgew.",223
19,Straßenraum begrünt,425
20,Straßenraum unbegrünt,290
21,Parkplätze u. Parkhäuser,410
22,Bahnhöfe und Bahnanlagen,496
23,Transport und Logistik inkl. Lager,179
24,"Park, Grünanlage",685
25,"Sport und Bad (Outdoor), Camping",296
26,Friedhof,64
27,Acker,573
28,Weingarten,190
29,"Gärtnerei, Obstplantagen",248
30,Wald,910
31,Wiese,1105
32,Gewässer inkl. Bachbett,442
